Date,Open,High,Low,Close,Volume,,,,,,,,,,,,,
2014-08-19,2065.19,2074.43,2064.34,2071.14,327122000,7.25,0,0.015833333,0.027666667,0.3625,0.002,22.3,4.5,1.5,1010,97,9.8,0.002881091
2014-08-20,2080.77,2082.21,2063.61,2072.78,315354000,21.79166667,0,0.004375,0.038708333,0.520833333,0.002125,24.8,0.5,1.1,1010.4,86,9.9,-0.003839925
2014-08-21,2067.63,2068.22,2041.91,2044.21,307794000,33.58333333,0,0.010458333,0.04125,0.5375,0.002916667,23.1,46.5,2.4,1006.8,97,9.6,-0.011326978
2014-08-22,2048.24,2058.46,2046.54,2056.7,277858000,16.20833333,0,0.015833333,0.025041667,0.404166667,0.002125,24.7,15,3.1,1010.3,83,7.9,0.004130375
2014-08-26,2069.07,2072.42,2065.15,2068.05,288908000,30.04166667,0,0.027041667,0.029583333,0.416666667,0.002,25.4,11.5,2.5,1010.9,71,6.3,-0.000492975
2014-08-29,2070.73,2073.03,2060.14,2068.54,301374000,20,0,0.026166667,0.031875,0.35,0.002625,25.2,6.5,1.8,1015,72,4.5,-0.001057598
2014-09-01,2067.8,2072.59,2062.3,2067.86,272468000,26.16666667,0,0.017833333,0.042208333,0.408333333,0.003458333,24.1,1.5,1.5,1013.8,73,6.1,2.90163E-05
2014-09-02,2065.97,2066,2049.15,2051.58,323115000,29.95833333,0,0.022375,0.041916667,0.458333333,0.002625,23.1,6,2.5,1011.8,74,8.5,-0.006965251
2014-09-03,2050.09,2054.08,2040.44,2051.2,337971000,15.16666667,0,0.016833333,0.035375,0.3125,0.002583333,19.1,57.5,3.4,1003,100,9.8,0.00054144
2014-09-12,2042.51,2048.21,2037.37,2041.86,362672000,35.83333333,0,0.025541667,0.036083333,0.358333333,0.003,21.3,0.1,2.1,1013.5,75,6.9,-0.000318236
2014-09-24,2024.75,2036.26,2019.91,2035.64,332585000,23.20833333,0,0.015958333,0.049375,0.2875,0.003833333,20.3,6.5,2.6,1009.6,78,8.4,0.005378442
2014-09-29,2035.93,2036.44,2021.37,2026.6,339587000,44.66666667,0,0.012666667,0.040541667,0.441666667,0.004,19.4,16,1.3,1013.6,99,8.5,-0.004582672
2014-10-02,1984.43,1985.06,1966.17,1976.16,322656000,30.625,0,0.017791667,0.022083333,0.375,0.004208333,18.1,9,2.2,1009.6,89,8.6,-0.004167444
2014-10-16,1911.45,1922.94,1904.77,1918.83,313610000,30.04166667,0,0.020583333,0.032583333,0.354166667,0.005458333,13.2,2.5,3.1,1018.9,54,3.5,0.003860943
2014-10-20,1918.84,1933.12,1917.54,1930.06,344669000,56.375,0,0.021416667,0.029,0.520833333,0.006666667,14.4,21.5,2.6,1016.9,98,10,0.005847283
2014-10-21,1923.62,1923.62,1911.03,1915.28,405921000,23.79166667,0,0.005208333,0.022083333,0.620833333,0.004041667,13.8,18.5,3.4,1017.3,93,10,-0.004335576
2014-10-31,1963.26,1967.08,1951.07,1964.43,349405000,60.54166667,0,0.004416667,0.078291667,1.133333333,0.006625,15,0.2,2.4,1018.4,62,9.5,0.000595948
2014-11-06,1933.45,1939.32,1923.05,1936.48,360571000,32.45833333,0,0.009916667,0.04625,0.720833333,0.006625,13.5,0.5,2.1,1020.4,61,4.5,0.001567147
2014-11-11,1957.87,1965.41,1956.23,1963,311396000,52.625,0,0.013,0.052958333,0.995833333,0.006791667,9.4,2,1.9,1016.6,67,4.6,0.002620194
2014-11-12,1965.21,1974.69,1961.66,1967.27,348499000,64.875,0,0.016666667,0.053208333,0.945833333,0.007375,6,5,5.4,1014.4,51,4.5,0.001048234
2014-11-17,1941.83,1948.33,1935.95,1943.63,277521000,40.875,0,0.013541667,0.04,0.725,0.008708333,6.2,1.5,2.3,1024.6,76,3.5,0.000926961
2014-11-28,1983.22,1984.73,1975.66,1980.78,340696000,46.83333333,0,0.005708333,0.047708333,1.145833333,0.006875,8.8,18,3.7,1015.2,88,8.8,-0.001230322
2014-12-01,1971.95,1971.97,1962.15,1965.22,333977000,12.58333333,0,0.015583333,0.022291667,0.804166667,0.005083333,-1.1,0.5,6.1,1015.3,59,4.8,-0.003412865
2014-12-03,1969.57,1973.96,1964.77,1969.91,271111000,71.58333333,0,0.015125,0.019875,0.633333333,0.005916667,-3.3,0.9,1.9,1020.4,71,6.3,0.000172627
2014-12-10,1964.04,1966.11,1943.27,1945.56,367889000,52,0,0.004708333,0.046291667,0.883333333,0.008541667,1.6,2,1.9,1025,59,9.4,-0.009409177
2014-12-11,1930.46,1937.23,1916.49,1916.59,343634000,45.33333333,0,0.003125,0.048458333,0.995833333,0.008333333,-1.5,0.5,3.4,1023.7,65,4.8,-0.007184816
2014-12-12,1921.61,1926.67,1915,1921.71,363470000,49.75,0,0.0165,0.021708333,0.533333333,0.007375,-3.8,0.1,2,1023.3,70,3.6,5.20397E-05
2014-12-15,1903.12,1920.43,1899.61,1920.36,294421000,35.16666667,0,0.006083333,0.031708333,0.683333333,0.008458333,-0.1,10.5,2.8,1024.4,91,8.1,0.009058809
2014-12-19,1920.75,1930.08,1914.27,1929.98,291791000,30.29166667,0,0.011291667,0.030333333,0.695833333,0.005916667,-3.8,0.9,3.4,1028.6,55,7.4,0.004805415
2014-12-22,1938.16,1944.2,1928.89,1943.12,324534000,19.58333333,0,0.012833333,0.019416667,0.5375,0.005583333,-4.7,0.3,2.2,1024.6,65,3.3,0.002559128
2014-12-24,1940.76,1947.35,1936.74,1946.61,283866000,45.20833333,0,0.003208333,0.04775,1.479166667,0.007541667,1.7,0.2,2.8,1022.1,67,3.8,0.003014283
2015-01-05,1921.96,1921.96,1903.37,1915.75,313442000,45.08333333,21.5,0.004083333,0.0395,1.325,0.0075,3.7,0.4,2.4,1016.9,73,7.1,-0.003231077
2015-01-06,1895.48,1900.02,1877.38,1882.45,303687000,76.45833333,37.83333333,0.004625,0.039625,1.116666667,0.009125,-3.2,3,4.3,1017.4,52,2.6,-0.006874248
2015-01-16,1907.07,1907.07,1885.62,1888.13,298732000,66.04166667,31.375,0.005625,0.042375,0.979166667,0.008958333,0.8,0.3,4,1020.3,73,8.1,-0.009931466
2015-01-19,1902.81,1912.42,1900.26,1902.62,281120000,41,17.16666667,0.00775,0.029708333,0.679166667,0.007,-0.1,0.1,3.2,1023,68,1.6,-9.98523E-05
2015-01-26,1928.26,1936.4,1924.14,1935.68,330607000,56,27.25,0.005791667,0.030958333,0.858333333,0.006958333,3.6,0.5,2.6,1020,88,8.4,0.003848029
2015-02-09,1949.5,1952.86,1944.79,1947,310181000,102.1666667,15.08333333,0.0275,0.01325,0.391666667,0.0055,-5.7,0.2,3.1,1027,55,3.4,-0.00128238
2015-02-16,1960.03,1963.44,1955.39,1958.23,350943000,80.625,36.83333333,0.026458333,0.045041667,0.9,0.009666667,5,10.5,3.5,1014.4,92,10,-0.000918353
2015-02-17,1955.77,1962.97,1952.33,1961.45,304531000,38.33333333,18.29166667,0.016458333,0.046291667,0.925,0.005833333,1.9,0.5,3.5,1016.5,79,9.4,0.002904227
2015-02-25,1988.47,1992.03,1984.53,1990.47,369497000,98.33333333,20.91666667,0.019583333,0.033041667,0.675,0.006125,5.4,0.5,2.9,1018.3,49,7.8,0.001005798
2015-02-26,1993.27,1993.43,1983.94,1993.08,385656000,96.33333333,26,0.006625,0.049208333,1.133333333,0.007541667,1.2,0.5,4.9,1019.6,57,4.6,-9.53208E-05
2015-03-03,2002.5,2003.05,1995.93,2001.38,444865000,52.45833333,27.5,0.020208333,0.038083333,0.4625,0.0055,2.8,5.5,3.4,1013.1,70,9.4,-0.000559301
2015-03-13,1987.17,1991.87,1982.96,1985.79,326706000,43.375,23.91666667,0.029833333,0.027791667,0.295833333,0.005833333,5.6,0.1,3,1019.3,45,1.8,-0.000694455
2015-03-18,2032.19,2036.13,2026.72,2028.45,362009000,75.08333333,37.58333333,0.013666667,0.050666667,0.679166667,0.005916667,10.7,1.5,4,1011.8,62,9.8,-0.001840379
2015-03-31,2042.31,2046.9,2032.24,2041.03,555933000,105.9583333,50.79166667,0.015541667,0.059625,0.8625,0.006416667,12.9,2.5,2.2,1015,81,8.9,-0.000626741
2015-04-01,2035.4,2039.04,2024.64,2028.45,542801000,23.08333333,17.45833333,0.023083333,0.032666667,0.545833333,0.004041667,12.9,2.5,4.1,1015.4,68,7.1,-0.003414562
2015-04-02,2036.9,2040.45,2028.22,2029.07,655863000,24.625,15.83333333,0.019708333,0.03375,0.516666667,0.003791667,14.8,28,5,1004.2,71,8.4,-0.003844077
2015-04-03,2035.83,2045.94,2031.27,2045.42,498635000,35.58333333,20.375,0.011916667,0.039166667,0.7,0.003583333,10.6,3.5,2.8,1006.6,83,6.1,0.004710609
2015-04-13,2094.1,2099.97,2088.82,2098.92,561806000,29.125,19.16666667,0.039333333,0.028791667,0.170833333,0.004,12,6.5,5.9,1018.1,54,9,0.002301705
2015-04-14,2101.76,2111.73,2095.97,2111.72,648846000,20.20833333,17.29166667,0.033541667,0.035291667,0.304166667,0.003916667,6.9,10.5,2.7,1008.9,90,10,0.004738886
2015-04-15,2114.56,2122.72,2110.25,2119.96,451397000,45,28.45833333,0.037166667,0.036875,0.391666667,0.005708333,11.1,1,2.9,1008.4,72,4.4,0.002553723
2015-04-16,2134.14,2139.9,2125.54,2139.9,476419000,81.79166667,34.41666667,0.020583333,0.048541667,0.458333333,0.005333333,9.9,7,3.6,1008.2,70,4.6,0.002698979
2015-04-20,2126.55,2146.73,2126.55,2146.71,509037000,14.16666667,11.16666667,0.033458333,0.033666667,0.291666667,0.003708333,12.2,5.5,3.2,1007.7,75,6,0.009480144
2015-04-29,2155.01,2156.24,2126.36,2142.63,458065000,43.29166667,30.08333333,0.01725,0.042333333,0.470833333,0.005458333,17,3.5,2.9,1012.3,77,9,-0.005744753
2015-05-11,2106.12,2110.79,2097.38,2097.38,329704000,44.375,25.125,0.022458333,0.046291667,0.433333333,0.004458333,18.4,14,3,1009.2,62,8,-0.004149811
2015-05-12,2100.63,2101.72,2088.64,2096.77,391923000,38.5,19.5,0.038125,0.023625,0.416666667,0.004666667,13.3,9.5,6.4,999.6,76,7.4,-0.001837544
2015-05-19,2114.29,2126.89,2107.62,2120.85,418479000,48.20833333,35.16666667,0.03725,0.031958333,0.504166667,0.003958333,14.8,1,3.6,1006.1,89,9.4,0.003102696
2015-06-05,2062.22,2075.02,2060.91,2068.1,394291000,33.58333333,22.91666667,0.026166667,0.052583333,0.520833333,0.005458333,19.1,1,1.7,1006.7,59,9.3,0.002851296
2015-06-11,2065.07,2065.07,2051.1,2056.61,457020000,38.29166667,26.70833333,0.030666667,0.044708333,0.495833333,0.00425,24.6,7.5,2.8,1001.6,60,7.3,-0.004096713
2015-06-12,2068.45,2074.78,2044.87,2052.17,388258000,40.20833333,28.95833333,0.050083333,0.027458333,0.5125,0.004291667,23.6,0.5,3.8,1003.1,63,5.8,-0.007870628
2015-06-17,2035.48,2037.12,2021.5,2034.86,354723000,36.33333333,26.5,0.040208333,0.0355,0.633333333,0.003375,23.4,9.5,2.6,1004.2,73,5.4,-0.000304596
2015-06-18,2046.19,2052,2036.78,2041.88,390973000,26.83333333,23.41666667,0.04,0.025875,0.5125,0.002291667,24.8,3,2.7,1005.6,59,7.1,-0.002106354
2015-06-25,2077.84,2088.16,2073.95,2085.06,575912000,40.20833333,30.5,0.027541667,0.038875,0.625,0.004041667,24.8,2,2.1,1003,65,8.9,0.003474762
2015-06-26,2083.4,2097.01,2080.79,2090.26,492773000,11.75,8,0.0355,0.01875,0.420833333,0.002,21,12.5,3.3,998.1,76,9.6,0.003292695
2015-06-30,2054.83,2075.02,2049.44,2074.2,392413000,25,21.875,0.032958333,0.022708333,0.5375,0.0025,24.4,2.5,1.7,998.4,70,9.1,0.009426571
